UCS,RD,TC,W,E,OB
40.0480286642089,2.53481726691535,279.16945825824007,78,57,25.89262580871582
42.8045092716706,2.71554177039146,257.27381447328,63,77,21.00381278991699
40.1775112095625,2.68164384326846,306.17710152192,80,80,26.12160110473633
41.3698311227196,2.57371216869138,309.43430472960006,77,75,24.14735221862793
39.2359331456806,2.61938452739347,284.1853250034,55,74,21.62191772460938
44.6027903163086,2.6577130442653,239.40443576448004,77,73,24.12737846374512
41.5045492998964,2.63396147709092,236.91063955860002,73,76,23.73306274414062
45.4278209193538,2.60116126663763,332.23472718336,76,57,26.74030876159668
46.2156965143892,2.66551358009188,260.01076994640005,73,75,24.16567039489746
43.3664863369243,2.75055323009573,221.670773856,63,66,19.72596168518066
44.2161133785966,2.64833218434827,254.53685900016004,72,81,26.50838851928711
42.6238056718103,2.58403908810496,339.29200080000004,79,72,20.6148738861084
44.4891082974713,2.73406852882367,257.27381447328,68,78,24.81071472167969
42.9477972956029,2.67682806121779,239.40443576448004,64,73,21.67822456359863
41.145685699934,2.60225293836003,292.85423562384005,60,50,25.3397102355957
39.3439038106576,2.59465471963625,241.89823197036003,69,69,22.20830345153809
42.5524984635495,2.72286775561647,325.720320768,75,61,25.9465274810791
43.0285997703779,2.5614995642665,296.15102289828,74,64,23.37271881103516
40.9238119439738,2.52772931277384,281.19390052968004,80,78,24.15118980407715
40.4068509032973,2.59326542530217,287.17674947712,71,71,23.08543014526367
39.6309793805979,2.64299062540784,270.95859183888,52,63,25.41046333312988
48.8230603368126,2.78107322493292,273.6955473120001,76,62,27.77694511413574
48.1825656367815,2.78371595887421,257.27381447328,75,79,24.96452713012695
39.9948310375656,2.62325425357308,359.33284831392007,79,79,23.90176773071289
39.4503152448943,2.58945562150207,254.53685900016004,69,84,26.01058959960938
45.8337129399034,2.73569735611701,260.01076994640005,59,75,21.87079048156738
43.7025369288802,2.70515855007868,290.11728015072003,74,51,24.95677757263184
44.8320303380585,2.6943194137649,319.20591435264,75,67,22.95124244689941
40.3066560985204,2.57455821364682,287.17674947712,74,72,23.27911567687988
39.9240182511935,2.68395533522841,254.53685900016004,57,83,25.95308685302734
42.0120070057912,2.71239560349643,335.49193039104,77,56,27.01899719238281
43.6832102901433,2.70074723781296,284.1853250034,71,76,20.82756233215332
47.3649192585144,2.7412128991934,284.1853250034,68,76,24.08090019226074
46.1461983283689,2.72407038517054,308.11672079316,73,55,27.31686782836914
42.2383236739623,2.65095462092587,278.20247605596,73,81,26.57693099975586
43.4855436459504,2.72040503720215,256.86100920564,63,56,23.47171783447266
47.0685346591594,2.76970625047114,290.11728015072003,66,51,27.83377075195312
39.0683279119926,2.62894576756774,270.95859183888,72,64,24.79862403869629
46.3754310449996,2.70245453927279,360.49775085000005,79,58,27.91665267944336
48.3264855985654,2.70044664304048,246.88582438212003,77,65,22.95898056030273
39.9367938255822,2.56063854941686,363.1555381896001,75,75,22.74298858642578
42.8918384696968,2.62461473481742,284.1853250034,78,76,22.82706451416016
47.4473143860284,2.73900795232968,266.83619402916,72,49,27.33472061157227
41.8517973929448,2.60643960667788,293.15959842456004,79,67,23.19305992126465
49.1266576944503,2.77024729823317,257.27381447328,62,78,24.54099655151367
46.783665849747,2.77414383288221,234.41684335272004,61,77,24.34710502624512
41.7967542397134,2.75222750669191,257.27381447328,71,80,26.42882919311523
42.19149909675,2.64473424955389,320.08241868804,70,50,25.51291084289551
40.8679171273603,2.65897959503808,342.00633680640004,71,52,25.46134948730469
43.5786279242075,2.74711600909103,254.36721299976003,50,58,23.52188110351562
